Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,BbAvH,BbAvD,BbAvA,HValue,AValue,HAcc,AAcc,HConv,AConv,HCurrentPoints,ACurrentPoints,FTHG_5Avg,FTAG_5Avg,HS_5Avg,AS_5Avg,HST_5Avg,AST_5Avg,HAcc_5Avg,AAcc_5Avg,HConv_5Avg,AConv_5Avg,HRating,ARating,Value_Diff,CurrentPoints_Diff,Rating_Diff,FTG_5Avg_Diff,S_5Avg_Diff,ST_5Avg_Diff,Acc_5Avg_Diff,Conv_5Avg_Diff
2013-2014,2013-09-14,Everton,Chelsea,1,0,H,11,22,5,5,3.22,3.28,2.27,0.2613015526135237,1.0,0.45454504132268975,0.2272726239669891,0.09090900826453795,0.0,3,7,0.6666666666666666,1.3333333333333333,18.0,15.0,5.666666666666667,4.0,0.30339818636035626,0.3090906218781753,0.03508770083103465,0.07474743134376645,0.374043419,0.898994361,-0.7386984473864763,-4,-0.524950942,-0.6666666666666666,3.0,1.666666666666667,-0.005692435517819061,-0.0396597305127318
2013-2014,2013-09-14,Fulham,West Brom,1,1,D,12,12,2,4,2.11,3.33,3.53,0.0,0.0,0.16666652777789354,0.33333305555578707,0.08333326388894677,0.08333326388894677,3,1,0.6666666666666666,0.0,8.0,9.333333333333334,3.3333333333333335,1.3333333333333333,0.43472125700510755,0.15887426193874715,0.08749985364610814,0.0,-0.24938197399999998,-0.099578264,0.0,2,-0.14980370999999998,0.6666666666666666,-1.333333333333334,2.0,0.2758469950663604,0.08749985364610814
2013-2014,2013-09-14,Hull,Cardiff,1,1,D,18,10,5,2,2.38,3.19,3.1,0.0,0.0,0.27777762345687584,0.1999998000002,0.055555524691375174,0.0999999000001,3,4,0.3333333333333333,1.0,6.666666666666667,8.333333333333334,1.6666666666666667,2.6666666666666665,0.24603138133085292,0.3333328549390861,0.05555546296311729,0.11111098765445816,0.0,0.0,0.0,-1,0.0,-0.6666666666666667,-1.666666666666667,-0.9999999999999998,-0.08730147360823318,-0.055555524691340875
2013-2014,2013-09-14,Man United,Crystal Palace,2,0,H,19,4,7,0,1.21,6.61,13.66,0.7918837191573704,0.00635922558763954,0.36842085872586383,0.0,0.10526310249310396,0.0,4,3,1.3333333333333333,1.3333333333333333,12.666666666666666,12.0,4.666666666666667,4.666666666666667,0.36581166960357914,0.4366941236338841,0.08888882962966914,0.08263300161244218,1.073525309,0.0,0.7855244935697309,1,1.073525309,0.0,0.6666666666666661,0.0,-0.07088245403030496,0.006255828017226961
2013-2014,2013-09-14,Stoke,Man City,0,0,D,11,10,3,3,5.69,3.73,1.63,0.0,0.9109708417730464,0.2727270247936138,0.2999997000003,0.0,0.0,6,6,1.0,2.6666666666666665,13.0,16.0,4.666666666666667,7.333333333333333,0.363491771050886,0.4541663710071467,0.06984122101288376,0.16388878321766412,-0.277504442,0.799241234,-0.9109708417730464,0,-1.076745676,-1.6666666666666665,-3.0,-2.666666666666666,-0.0906745999562607,-0.09404756220478036
2013-2014,2013-09-14,Sunderland,Arsenal,1,3,A,17,14,2,6,5.43,3.69,1.66,0.0,0.5352348202929954,0.11764698961941787,0.42857112244919826,0.058823494809708936,0.21428556122459913,1,6,0.6666666666666666,1.6666666666666667,12.666666666666666,15.333333333333334,2.6666666666666665,5.333333333333333,0.2416664187502745,0.35185161201148585,0.07499991458343178,0.10416659963353224,-0.325173862,0.8760906909999999,-0.5352348202929954,-5,-1.201264553,-1.0,-2.666666666666668,-2.6666666666666665,-0.11018519326121134,-0.029166685050100463
2013-2014,2013-09-14,Tottenham,Norwich,2,0,H,23,4,7,1,1.44,4.33,7.63,0.7489899118237491,0.09126666352630836,0.30434769376187226,0.24999937500156252,0.08695648393196351,0.0,6,4,0.6666666666666666,1.0,16.666666666666668,12.0,3.6666666666666665,3.3333333333333335,0.2221729424949922,0.2747860824651658,0.037151682018753636,0.10555543657421416,0.500606288,-0.42824300600000004,0.6577232482974407,2,0.9288492939999999,-0.33333333333333337,4.666666666666668,0.33333333333333304,-0.052613139970173584,-0.06840375455546052
2013-2014,2013-09-15,Southampton,West Ham,0,0,D,15,6,5,1,1.82,3.5,4.55,0.14979798236474984,0.11182815959300958,0.3333331111112593,0.16666638888935187,0.0,0.0,4,4,0.6666666666666666,0.6666666666666666,11.666666666666666,11.0,3.3333333333333335,1.6666666666666667,0.2734909543129777,0.12962949588495085,0.06722681119517022,0.03703701646091678,-0.275278438,-0.19102777399999998,0.037969822771740255,0,-0.08425066400000003,0.0,0.6666666666666661,1.6666666666666667,0.14386145842802686,0.03018979473425344
2013-2014,2013-09-16,Swansea,Liverpool,2,2,D,17,12,8,5,3.37,3.34,2.17,0.0,0.4928399830420651,0.4705879584776715,0.4166663194447338,0.11764698961941787,0.16666652777789354,3,9,1.0,1.0,12.0,13.666666666666666,5.0,5.666666666666667,0.4668529060976832,0.3743586201187974,0.07516334086253416,0.11282034122318159,-0.099516232,0.6987894720000001,-0.4928399830420651,-6,-0.7983057040000001,0.0,-1.666666666666666,-0.666666666666667,0.09249428597888582,-0.037657000360647425
2013-2014,2013-09-21,West Ham,Everton,2,3,A,9,10,1,4,3.12,3.25,2.33,0.12408202678321854,0.2517311225210797,0.11111098765445816,0.3999996000004,0.22222197530891633,0.2999997000003,5,6,0.5,0.75,9.75,16.25,1.5,5.5,0.1388887191360511,0.34118490010093966,0.027777762345687587,0.049043027689410476,-0.19102777399999998,0.374043419,-0.12764909573786115,-1,-0.565071193,-0.25,-6.5,-4.0,-0.20229618096488855,-0.02126526534372289
2013-2014,2013-09-21,Norwich,Aston Villa,0,1,A,12,16,1,4,2.37,3.3,3.01,0.09618072319772315,0.12570069244900842,0.08333326388894677,0.24999984375009765,0.0,0.06249996093752441,4,3,0.75,1.25,10.0,10.75,2.75,2.75,0.268589405599265,0.28737128784361615,0.07916657743066062,0.14404745043481906,-0.42824300600000004,-0.549096205,-0.029519969251285264,1,0.12085319899999997,-0.5,-0.75,0.0,-0.018781882244351178,-0.06488087300415844
2013-2014,2013-09-21,West Brom,Sunderland,3,0,H,13,7,4,0,2.03,3.33,3.75,0.0,0.0,0.30769207100609924,0.0,0.23076905325457442,0.0,2,1,0.25,0.75,10.0,13.75,2.0,2.5,0.20248896034300712,0.21066156146756035,0.020833315972236692,0.07095580964000106,-0.099578264,-0.325173862,0.0,1,0.22559559799999998,-0.5,-3.75,-0.5,-0.00817260112455323,-0.05012249366776437
2013-2014,2013-09-21,Liverpool,Southampton,0,1,A,10,12,5,7,1.58,3.82,6.18,0.5317256625924326,0.13354373734043057,0.49999950000050003,0.5833328472226273,0.0,0.08333326388894677,10,5,1.25,0.5,13.25,12.5,5.5,3.75,0.3849355449502815,0.28845149351254806,0.12628188786185957,0.05042010839637767,0.6987894720000001,-0.275278438,0.398181925252002,5,0.97406791,0.75,0.75,1.75,0.09648405143773342,0.0758617794654819
